state,location,so2,no2,rspm,date,season
Karnataka,Bangalore,17.9,8.6,,1989-04-01,Summer
Karnataka,Mysore,6.8,2.7,,1989-04-01,Summer
Karnataka,Mysore,16.6,9.9,,1989-04-01,Summer
Karnataka,Mysore,16.5,30.9,,1989-04-01,Summer
Karnataka,Bangalore,15.7,9.6,,1989-05-01,Summer
Karnataka,Bangalore,36.3,19.1,,1989-05-01,Summer
Karnataka,Bangalore,18.1,29.9,,1989-05-01,Summer
Karnataka,Bangalore,12.8,9.9,,1989-05-01,Summer
Karnataka,Bangalore,15.1,7.7,,1989-05-01,Summer
Karnataka,Mysore,3.7,4.4,,1989-05-01,Summer
Karnataka,Mysore,11.1,20.8,,1989-05-01,Summer
Karnataka,Mysore,10.1,19.9,,1989-05-01,Summer
Karnataka,Bangalore,16.5,7.7,,1989-06-01,Monsoon
Karnataka,Bangalore,44.4,18.7,,1989-06-01,Monsoon
Karnataka,Bangalore,19.8,23.4,,1989-06-01,Monsoon
Karnataka,Bangalore,11.4,3.6,,1989-06-01,Monsoon
Karnataka,Bangalore,13.2,10.2,,1989-06-01,Monsoon
Karnataka,Mysore,8.7,10.7,,1989-06-01,Monsoon
Karnataka,Mysore,2.8,4.4,,1989-06-01,Monsoon
Karnataka,Mysore,24.4,7.0,,1989-06-01,Monsoon
Karnataka,Bangalore,37.2,7.4,,1989-07-01,Monsoon
Karnataka,Bangalore,45.5,19.5,,1989-07-01,Monsoon
Karnataka,Bangalore,18.5,10.1,,1989-07-01,Monsoon
Karnataka,Bangalore,17.9,7.0,,1989-07-01,Monsoon
Karnataka,Bangalore,21.0,11.5,,1989-07-01,Monsoon
Karnataka,Mysore,7.2,6.7,,1989-07-01,Monsoon
Karnataka,Mysore,9.1,11.8,,1989-07-01,Monsoon
Karnataka,Mysore,6.3,43.3,,1989-07-01,Monsoon
Karnataka,Bangalore,24.3,9.5,,1989-08-01,Monsoon
Karnataka,Bangalore,33.8,14.6,,1989-08-01,Monsoon
Karnataka,Bangalore,19.8,11.7,,1989-08-01,Monsoon
Karnataka,Bangalore,18.3,6.3,,1989-08-01,Monsoon
Karnataka,Bangalore,18.1,10.7,,1989-08-01,Monsoon
Karnataka,Mysore,9.1,6.9,,1989-08-01,Monsoon
Karnataka,Mysore,4.1,20.6,,1989-08-01,Monsoon
Karnataka,Bangalore,31.3,12.1,,1989-09-01,Monsoon
Karnataka,Bangalore,34.0,18.0,,1989-09-01,Monsoon
Karnataka,Bangalore,18.2,12.9,,1989-09-01,Monsoon
Karnataka,Bangalore,14.1,9.8,,1989-09-01,Monsoon
Karnataka,Bangalore,17.4,12.9,,1989-09-01,Monsoon
Karnataka,Mysore,6.6,4.2,,1989-09-01,Monsoon
Karnataka,Mysore,17.1,8.2,,1989-09-01,Monsoon
Karnataka,Mysore,4.2,26.2,,1989-09-01,Monsoon
Karnataka,Bangalore,21.6,20.7,,1989-12-01,Winter
Karnataka,Bangalore,27.1,20.2,,1989-12-01,Winter
Karnataka,Bangalore,29.0,21.5,,1989-12-01,Winter
Karnataka,Bangalore,24.2,18.6,,1989-12-01,Winter
Karnataka,Bangalore,28.7,19.6,,1989-12-01,Winter
Karnataka,Mysore,14.1,4.5,,1989-12-01,Winter
Karnataka,Mysore,12.3,4.4,,1989-12-01,Winter
Karnataka,Mysore,14.8,6.9,,1989-12-01,Winter
Karnataka,Mysore,14.1,4.5,,1989-12-01,Winter
Karnataka,Mysore,12.3,4.4,,1989-12-01,Winter
Karnataka,Mysore,14.8,6.9,,1989-12-01,Winter
Karnataka,Bangalore,21.6,20.7,,1989-12-01,Winter
Karnataka,Bangalore,27.1,20.2,,1989-12-01,Winter
Karnataka,Bangalore,29.0,21.5,,1989-12-01,Winter
Karnataka,Bangalore,24.2,18.6,,1989-12-01,Winter
Karnataka,Bangalore,28.7,19.6,,1989-12-01,Winter
Karnataka,Bangalore,19.0,16.4,,1990-01-01,Winter
Karnataka,Bangalore,22.4,20.1,,1990-01-01,Winter
Karnataka,Bangalore,14.4,12.2,,1990-01-01,Winter
Karnataka,Bangalore,40.9,19.0,,1990-01-01,Winter
Karnataka,Bangalore,22.3,11.0,,1990-01-01,Winter
Karnataka,Mysore,14.6,7.0,,1990-01-01,Winter
Karnataka,Mysore,14.9,3.3,,1990-01-01,Winter
Karnataka,Mysore,25.8,5.4,,1990-01-01,Winter
Karnataka,Bangalore,18.0,11.4,,1990-02-01,Winter
Karnataka,Bangalore,17.4,15.9,,1990-02-01,Winter
Karnataka,Bangalore,14.2,9.8,,1990-02-01,Winter
Karnataka,Bangalore,27.1,14.1,,1990-02-01,Winter
Karnataka,Bangalore,18.1,11.0,,1990-02-01,Winter
Karnataka,Mysore,20.4,6.6,,1990-02-01,Winter
Karnataka,Mysore,20.3,8.1,,1990-02-01,Winter
Karnataka,Mysore,15.8,7.8,,1990-02-01,Winter
Karnataka,Bangalore,21.0,9.8,,1990-03-01,Summer
Karnataka,Bangalore,39.9,19.7,,1990-03-01,Summer
Karnataka,Bangalore,18.4,13.3,,1990-03-01,Summer
Karnataka,Bangalore,18.7,10.8,,1990-03-01,Summer
Karnataka,Bangalore,31.5,13.8,,1990-03-01,Summer
Karnataka,Mysore,15.3,5.3,,1990-04-01,Summer
Karnataka,Mysore,10.7,5.0,,1990-04-01,Summer
Karnataka,Mysore,13.9,13.7,,1990-04-01,Summer
Karnataka,Bangalore,32.8,13.7,,1990-04-01,Summer
Karnataka,Bangalore,30.1,15.1,,1990-04-01,Summer
Karnataka,Bangalore,24.0,12.6,,1990-04-01,Summer
Karnataka,Bangalore,22.1,12.9,,1990-04-01,Summer
Karnataka,Bangalore,23.8,13.0,,1990-04-01,Summer
Karnataka,Mysore,17.9,6.7,,1990-05-01,Summer
Karnataka,Mysore,11.4,8.6,,1990-05-01,Summer
Karnataka,Mysore,9.6,8.2,,1990-05-01,Summer
Karnataka,Bangalore,40.7,8.3,,1990-05-01,Summer
Karnataka,Bangalore,35.1,14.4,,1990-05-01,Summer
Karnataka,Bangalore,21.3,9.2,,1990-05-01,Summer
Karnataka,Bangalore,19.3,5.4,,1990-05-01,Summer
Karnataka,Bangalore,26.7,11.4,,1990-05-01,Summer
Karnataka,Mysore,13.3,6.9,,1990-06-01,Monsoon
Karnataka,Mysore,15.0,6.9,,1990-06-01,Monsoon
Karnataka,Mysore,24.6,7.3,,1990-06-01,Monsoon
Karnataka,Bangalore,17.0,9.6,,1990-06-01,Monsoon
Karnataka,Bangalore,23.7,13.0,,1990-06-01,Monsoon
