country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","17-01-2026 18:00:00",22.7289,75.8076,PM10,61,226,111
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","17-01-2026 18:00:00",22.7289,75.8076,NH3,NA,NA,NA
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","17-01-2026 18:00:00",22.4310,75.5213,PM10,62,201,121
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","17-01-2026 18:00:00",22.4310,75.5213,NO2,34,181,104
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","17-01-2026 18:00:00",22.7084,75.8815,NO2,13,80,62
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","17-01-2026 18:00:00",22.7084,75.8815,NH3,NA,NA,NA
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","17-01-2026 18:00:00",22.7084,75.8815,SO2,5,10,7
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB","17-01-2026 18:00:00",20.939198,77.765701,PM2.5,60,122,86
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB","17-01-2026 18:00:00",20.939198,77.765701,NO2,2,19,7
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB","17-01-2026 18:00:00",20.939198,77.765701,NH3,1,12,5
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","17-01-2026 18:00:00",19.875620,75.387310,PM10,71,181,136
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB","17-01-2026 18:00:00",19.8389439,75.244448,SO2,13,29,18
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","17-01-2026 18:00:00",16.7602,77.1428,PM10,72,132,102
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","17-01-2026 18:00:00",16.7602,77.1428,NO2,11,139,28
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","17-01-2026 18:00:00",10.073232,76.302765,PM10,NA,NA,NA
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","17-01-2026 18:00:00",10.073232,76.302765,OZONE,18,21,20
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB","17-01-2026 18:00:00",11.875000,75.373200,NO2,14,16,15
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB","17-01-2026 18:00:00",19.1750,72.9419,NH3,4,5,4
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM","17-01-2026 18:00:00",18.897756,72.813320,NO2,18,160,58
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","17-01-2026 18:00:00",19.000084,72.856730,NO2,31,117,63
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","17-01-2026 18:00:00",19.000084,72.856730,NH3,5,44,13
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","17-01-2026 18:00:00",19.000084,72.856730,OZONE,1,33,22
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","17-01-2026 18:00:00",19.060498,72.923356,PM10,75,134,108
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","17-01-2026 18:00:00",19.060498,72.923356,NH3,3,7,4
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","17-01-2026 18:00:00",19.060498,72.923356,OZONE,3,78,50
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM","17-01-2026 18:00:00",19.000083,72.813993,PM2.5,62,155,106
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM","17-01-2026 18:00:00",19.000083,72.813993,PM10,49,131,92
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM","17-01-2026 18:00:00",19.1653323,72.922099,CO,4,30,8
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB","17-01-2026 18:00:00",19.0863,72.8888,PM10,110,179,131
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB","17-01-2026 18:00:00",19.0863,72.8888,NO2,5,9,7
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB","17-01-2026 18:00:00",19.0863,72.8888,SO2,36,37,37
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM","17-01-2026 18:00:00",19.19709,72.82204,CO,8,78,17
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM","17-01-2026 18:00:00",19.19709,72.82204,OZONE,32,85,61
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM","17-01-2026 18:00:00",18.96702,72.84214,PM2.5,NA,NA,NA
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM","17-01-2026 18:00:00",18.96702,72.84214,PM10,NA,NA,NA
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM","17-01-2026 18:00:00",18.96702,72.84214,NH3,14,25,19
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB","17-01-2026 18:00:00",19.1878657,72.8304069,NO2,8,81,35
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB","17-01-2026 18:00:00",18.910000,72.820000,CO,57,66,59
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM","17-01-2026 18:00:00",19.04946,72.9230,NO2,21,49,33
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM","17-01-2026 18:00:00",19.04946,72.9230,SO2,3,7,5
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC","17-01-2026 18:00:00",19.083694,72.920967,OZONE,1,64,44
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB","17-01-2026 18:00:00",19.205800,72.868200,SO2,23,27,25
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC","17-01-2026 18:00:00",19.215859,72.831718,SO2,1,6,3
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB","17-01-2026 18:00:00",19.0632143,72.8456324,PM10,77,137,110
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB","17-01-2026 18:00:00",19.0632143,72.8456324,NO2,1,77,24
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","17-01-2026 18:00:00",18.9767,72.8380,NH3,6,28,13
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","17-01-2026 18:00:00",18.9767,72.8380,SO2,1,7,3
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","17-01-2026 18:00:00",18.9767,72.8380,CO,8,108,26
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM","17-01-2026 18:00:00",19.11074,72.86084,SO2,NA,NA,NA
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","17-01-2026 18:00:00",19.0364585,72.8954371,PM10,69,111,94
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","17-01-2026 18:00:00",19.0364585,72.8954371,SO2,1,8,3
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","17-01-2026 18:00:00",19.0364585,72.8954371,OZONE,4,64,52
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB","17-01-2026 18:00:00",18.910000,72.820000,PM2.5,22,67,47
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB","17-01-2026 18:00:00",18.910000,72.820000,PM10,42,119,89
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB","17-01-2026 18:00:00",19.192056,72.9585188,PM10,109,235,171
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB","17-01-2026 18:00:00",19.192056,72.9585188,OZONE,1,86,56
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB","17-01-2026 18:00:00",16.6870449,74.2505872,CO,19,53,27
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB","17-01-2026 18:00:00",16.7143745,74.2426398,SO2,2,8,4
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB","17-01-2026 18:00:00",18.39963,76.57452,NO2,21,78,39
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB","17-01-2026 18:00:00",19.16485,73.23409,OZONE,11,82,56
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","17-01-2026 18:00:00",19.0243902,73.0406721,PM2.5,88,320,172
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","17-01-2026 18:00:00",19.309073,73.057223,SO2,8,18,14
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB","17-01-2026 18:00:00",19.962900,79.298714,PM10,71,258,143
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB","17-01-2026 18:00:00",21.001264,75.565602,PM10,76,151,110
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB","17-01-2026 18:00:00",21.001264,75.565602,NH3,2,3,2
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB","17-01-2026 18:00:00",21.001264,75.565602,SO2,2,21,9
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","17-01-2026 18:00:00",19.854616,75.905894,SO2,4,18,9
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB","17-01-2026 18:00:00",19.25292,73.142019,NO2,36,36,36
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB","17-01-2026 18:00:00",19.962900,79.298714,OZONE,25,25,25
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","17-01-2026 18:00:00",19.9775302,79.2337086,NH3,3,9,6
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","17-01-2026 18:00:00",19.9775302,79.2337086,CO,37,42,40
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","17-01-2026 18:00:00",20.918946,74.776388,PM2.5,89,231,167
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","17-01-2026 18:00:00",19.296481,72.840923,SO2,NA,NA,NA
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","17-01-2026 18:00:00",19.296481,72.840923,OZONE,7,47,30
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","17-01-2026 18:00:00",19.065931,72.862131,OZONE,1,43,37
India,Maharashtra,"Navi Mumbai","Sector-2E Kalamboli, Navi Mumbai - MPCB","17-01-2026 18:00:00",19.02579,73.10297,PM2.5,34,112,65
India,Maharashtra,"Navi Mumbai","Tondare-Taloja, Navi Mumbai - MPCB","17-01-2026 18:00:00",19.0630,73.1209,NO2,19,55,32
India,Maharashtra,"Navi Mumbai","Tondare-Taloja, Navi Mumbai - MPCB","17-01-2026 18:00:00",19.0630,73.1209,OZONE,10,35,28
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB","17-01-2026 18:00:00",19.265594,76.761463,PM2.5,NA,NA,NA
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB","17-01-2026 18:00:00",19.265594,76.761463,NO2,NA,NA,NA
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB","17-01-2026 18:00:00",18.63673,73.82487,NH3,NA,NA,NA
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB","17-01-2026 18:00:00",18.63673,73.82487,OZONE,1,59,32
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB","17-01-2026 18:00:00",18.59051,73.77946,NH3,1,5,3
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB","17-01-2026 18:00:00",18.59051,73.77946,SO2,1,13,4
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB","17-01-2026 18:00:00",21.152875,79.0517531,SO2,6,116,30
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB","17-01-2026 18:00:00",21.152875,79.0517531,CO,8,113,29
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB","17-01-2026 18:00:00",21.143383,79.048912,PM2.5,86,210,131
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB","17-01-2026 18:00:00",21.143383,79.048912,NO2,17,74,36
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB","17-01-2026 18:00:00",21.143383,79.048912,NH3,4,4,4
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB","17-01-2026 18:00:00",19.173852,77.296291,PM2.5,55,111,79
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB","17-01-2026 18:00:00",19.173852,77.296291,PM10,77,150,115
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB","17-01-2026 18:00:00",19.173852,77.296291,NH3,3,5,4
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB","17-01-2026 18:00:00",19.173852,77.296291,OZONE,13,97,88
India,Maharashtra,Nashik,"Hirawadi, Nashik - MPCB","17-01-2026 18:00:00",20.021503,73.813844,OZONE,2,70,58
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","17-01-2026 18:00:00",19.950220,73.731480,CO,30,34,32
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","17-01-2026 18:00:00",19.950220,73.731480,OZONE,1,36,30
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB","17-01-2026 18:00:00",19.9591346,73.7788008,NH3,3,8,6
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB","17-01-2026 18:00:00",19.9591346,73.7788008,SO2,1,8,4
India,Maharashtra,"Navi Mumbai","Kopripada-Vashi, Navi Mumbai - MPCB","17-01-2026 18:00:00",19.090337,73.014232,PM2.5,6,403,119
India,Maharashtra,"Navi Mumbai","Mahape, Navi Mumbai - MPCB","17-01-2026 18:00:00",19.1135051,73.008978,PM2.5,50,172,106
India,Maharashtra,"Navi Mumbai","Mahape, Navi Mumbai - MPCB","17-01-2026 18:00:00",19.1135051,73.008978,NH3,3,3,3
India,Maharashtra,"Navi Mumbai","Mahape, Navi Mumbai - MPCB","17-01-2026 18:00:00",19.1135051,73.008978,CO,18,20,19
India,Maharashtra,"Navi Mumbai","Nerul, Navi Mumbai - MPCB","17-01-2026 18:00:00",19.008751,73.016620,NO2,38,39,38
India,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM","17-01-2026 18:00:00",18.664282,73.763966,OZONE,1,61,41
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB","17-01-2026 18:00:00"," 16.5038",74.3623,NH3,1,3,1
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB","17-01-2026 18:00:00",17.6336264,75.9132495,PM10,71,214,110
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB","17-01-2026 18:00:00",17.65439,75.90649,NO2,14,155,61
India,Maharashtra,Thane,"Kasarvadavali, Thane - MPCB","17-01-2026 18:00:00",19.26777,72.97182,PM10,63,124,103
India,Maharashtra,Thane,"Kasarvadavali, Thane - MPCB","17-01-2026 18:00:00",19.26777,72.97182,NH3,2,4,3
India,Maharashtra,Thane,"Upvan Fort, Thane - MPCB","17-01-2026 18:00:00",19.222279,72.957979,PM10,53,135,78
India,Maharashtra,Thane,"Upvan Fort, Thane - MPCB","17-01-2026 18:00:00",19.222279,72.957979,NO2,4,37,17
India,Maharashtra,Thane,"Upvan Fort, Thane - MPCB","17-01-2026 18:00:00",19.222279,72.957979,NH3,5,6,6
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB","17-01-2026 18:00:00",19.235581,73.159121,PM10,75,183,143
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB","17-01-2026 18:00:00",19.235581,73.159121,NH3,4,8,6
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","17-01-2026 18:00:00",19.4458210,72.7988231,PM2.5,50,157,110
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","17-01-2026 18:00:00",19.4458210,72.7988231,SO2,2,14,7
India,Meghalaya,Shillong,"Lumpyngngad, Shillong - Meghalaya PCB","17-01-2026 18:00:00",25.5586,91.8985,CO,2,15,5
India,Meghalaya,Shillong,"Lumpyngngad, Shillong - Meghalaya PCB","17-01-2026 18:00:00",25.5586,91.8985,OZONE,6,12,10
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB","17-01-2026 18:00:00",18.616318,73.765797,SO2,1,4,3
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB","17-01-2026 18:00:00",18.616318,73.765797,CO,2,112,24
India,Maharashtra,Pune,"Bhumkar Nagar, Pune - IITM","17-01-2026 18:00:00",18.605770,73.749976,PM2.5,47,313,170
India,Maharashtra,Pune,"Bhumkar Nagar, Pune - IITM","17-01-2026 18:00:00",18.605770,73.749976,PM10,86,157,121
India,Maharashtra,Pune,"Bhumkar Nagar, Pune - IITM","17-01-2026 18:00:00",18.605770,73.749976,NO2,23,112,60
India,Maharashtra,Pune,"Bhumkar Nagar, Pune - IITM","17-01-2026 18:00:00",18.605770,73.749976,OZONE,3,176,176
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB","17-01-2026 18:00:00",18.454450,73.854155,PM2.5,44,96,60
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM","17-01-2026 18:00:00",19.000083,72.813993,OZONE,41,86,66
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB","17-01-2026 18:00:00",19.047000,72.874600,PM10,38,294,164
India,Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB","17-01-2026 18:00:00",19.10861,72.83622,SO2,47,54,50
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB","17-01-2026 18:00:00",21.121801,79.04952,CO,16,117,30
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB","17-01-2026 18:00:00",21.14472,79.107595,OZONE,11,38,33
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM","17-01-2026 18:00:00",18.573040,73.927715,PM2.5,42,311,188
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM","17-01-2026 18:00:00",18.573040,73.927715,PM10,117,202,158
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM","17-01-2026 18:00:00",18.530085,73.849598,PM10,83,170,120
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","17-01-2026 18:00:00",18.547056,73.826908,NO2,1,45,24
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","17-01-2026 18:00:00",18.547056,73.826908,CO,10,102,18
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB","17-01-2026 18:00:00",21.51161,86.89088,OZONE,10,81,67
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","17-01-2026 18:00:00",21.941841,86.728318,OZONE,9,99,87
India,Punjab,Patiala,"Model Town, Patiala - PPCB","17-01-2026 18:00:00",30.349388,76.366642,PM2.5,71,181,114
India,Punjab,Patiala,"Model Town, Patiala - PPCB","17-01-2026 18:00:00",30.349388,76.366642,PM10,106,184,141
India,Punjab,Patiala,"Model Town, Patiala - PPCB","17-01-2026 18:00:00",30.349388,76.366642,NO2,16,19,17
India,Punjab,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements","17-01-2026 18:00:00",31.0325454,76.5623046,NO2,5,5,5
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","17-01-2026 18:00:00",26.470859,74.646594,SO2,8,16,12
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","17-01-2026 18:00:00",26.470859,74.646594,CO,22,35,28
India,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB","17-01-2026 18:00:00",27.554793,76.611536,NO2,49,101,80
India,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB","17-01-2026 18:00:00",27.554793,76.611536,SO2,2,45,26
India,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB","17-01-2026 18:00:00",22.220833,84.809444,SO2,4,9,6
India,Odisha,Rourkela,"Sector-2, Rourkela - OSPCB","17-01-2026 18:00:00",22.24500000,84.88111111,CO,35,45,37
India,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB","17-01-2026 18:00:00",20.9360711,85.1707021,NH3,6,7,6
India,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB","17-01-2026 18:00:00",20.9360711,85.1707021,SO2,5,37,21
India,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC","17-01-2026 18:00:00",11.9309,79.8027,PM10,60,91,74
India,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB","17-01-2026 18:00:00",31.620000,74.876512,PM10,17,252,120
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB","17-01-2026 18:00:00",23.555190,74.440010,OZONE,1,146,116
India,Rajasthan,Baran,"Bamboliya, Baran - RSPCB","17-01-2026 18:00:00",25.106006,76.469948,NH3,8,11,9
India,Rajasthan,Barmer,"Railway Colony, Barmer - RSPCB","17-01-2026 18:00:00",25.747299,71.393989,PM10,50,209,97
India,Rajasthan,Barmer,"Railway Colony, Barmer - RSPCB","17-01-2026 18:00:00",25.747299,71.393989,NO2,8,88,30
